chn1,chn2,chn3,chn4,chn5,chn6,chn7,chn8
929,-31911,8,2111,-1747,-32752,0,0
723,-31965,-32758,2308,-2159,-32759,0,0
952,859,-32756,2166,-2140,4,0,0
1264,-31963,22,2088,-1733,-1,0,0
1093,852,-32758,2166,31028,-32760,0,0
668,838,-32757,-30299,-2146,7,0,0
692,884,-32761,2434,30638,4,0,0
869,-31821,20,2196,31039,10,0,0
1196,920,17,-30840,31103,17,0,0
1316,810,15,1783,31092,-32751,0,0
1030,-32010,11,-30709,-1663,13,0,0
714,855,-32760,-30528,31093,18,0,0
646,948,-32760,-30805,31087,-32765,0,0
995,926,3,2083,-1668,-32767,0,0
1293,942,4,2062,-1670,9,0,0
1151,913,-32758,-30612,-1665,11,0,0
763,-31839,-32752,-30660,-1667,-32748,0,0
672,-31839,-32749,-30738,-1670,-32762,0,0
874,-31885,-32727,-30848,-1751,-32757,0,0
1210,-31942,44,2117,-2154,-32759,0,0
1259,-31911,43,-30778,-2206,4,0,0
1160,-31926,-32740,2047,-2133,-32767,0,0
922,923,-32747,2166,-1810,11,0,0
704,941,32,-30788,-2079,-32755,639,-31873
608,-31876,-32753,1837,31101,14,0,0
867,-31831,11,1801,-1666,18,0,0
1167,865,-32751,2020,-1679,18,0,0
1380,875,19,-30523,31090,-32756,0,0
1236,876,-32740,2586,-1674,-32759,0,0
1092,879,16,-30386,31099,-32764,0,0
776,-31822,-32758,-30705,-1665,-32763,0,0
714,-31855,-32749,1949,31099,-32763,0,0
931,-31844,16,-30828,31101,-32768,0,0
1132,-31851,9,2206,31097,3,0,0
1285,875,-32757,1877,31099,10,0,0
1138,752,-32754,2126,31107,13,0,0
835,-32005,-32748,2361,31098,12,0,0
624,-31904,-32746,2420,-1670,2,0,0
724,-31920,16,-30712,31101,-1,0,0
1010,875,-32753,-30813,31104,-32763,0,0
1234,-31842,19,1999,-1667,-32756,0,0
1094,-31862,-32753,1996,31095,5,0,0
772,962,11,2285,-1669,3,0,0
685,890,-32759,-30867,-1670,3,0,0
802,750,-32762,1865,31090,-32765,0,0
955,-32073,-32755,-30664,-1669,-1,0,0
1241,-31900,12,2001,31095,-2,0,0
1178,923,-32760,2324,-1676,2,0,0
944,-31798,-32756,2131,-1673,-32760,0,0
678,932,-32750,2082,-1675,-32761,0,0
685,-31874,19,2029,31094,7,0,0
1042,-31811,22,1691,31025,6,0,0
1284,948,-32736,-30855,-2065,21,0,0
1021,756,-32739,-30713,31043,-32750,0,0
769,-32003,-32743,-30512,31097,21,0,0
765,899,18,-30619,-1676,7,0,0
977,946,12,1968,31092,-32765,0,0
1209,892,16,-31030,31099,-32764,0,0
1278,-31846,13,1931,-1662,-32756,0,0
1124,920,-32751,1868,-1742,-32755,0,0
881,808,-32742,1737,30695,14,0,0
683,-32008,-32754,1616,31034,-32747,0,0
749,915,20,2228,-1667,18,0,0
1135,865,26,2327,31102,-32750,0,0
1314,-31949,17,1683,-1668,11,0,0
1119,789,-32748,1762,-1667,2,0,0
720,817,-32760,1895,-1676,32766,0,0
584,-31866,10,-30758,31097,-32763,0,0
833,948,17,-30549,-1673,16,0,0
1111,867,35,2183,-1675,14,0,0
1231,897,-32749,-30670,31014,-32749,0,0
948,-31851,-32733,-30937,30696,3,0,0
690,891,-32733,-30723,31046,-32768,0,0
656,-31958,-32745,-30661,-1750,-32762,0,0
971,-31880,-32742,-30723,-2162,14,0,0
1258,-31848,30,2118,30631,12,0,0
1148,929,-32721,-30719,31048,-32768,0,0
816,916,36,-30874,31094,3,0,0
576,968,-32755,1967,-1676,5,0,0
773,-31895,-32748,2370,-1670,-32762,0,0
1023,873,15,-30802,31092,-32759,0,0
1201,854,17,1975,-1675,-32758,0,0
1300,-31885,-32745,1749,31096,12,0,0
1282,-31853,11,1822,-1675,11,0,0
1132,934,27,1935,31094,13,0,0
869,-31844,-32744,2152,31100,4,0,0
660,897,-32741,-30907,-1674,-32766,0,0
666,928,-32741,-31012,-1674,14,0,0
873,-31849,-32752,1873,31093,-32753,0,0
1224,-31876,28,-30961,-1679,10,0,0
1261,-31815,-32739,-30864,31087,-32764,0,0
1192,991,-32753,2158,31093,-32757,0,0
1059,-31889,-32756,2208,-1674,-32766,0,0
791,916,-32751,2069,-1670,19,0,0
681,969,16,1881,31097,13,0,0
829,927,-32760,2321,-1671,-32760,0,0
1169,980,7,2118,-1671,4,0,0
1319,-31879,-32758,2027,31099,9,0,0
1123,923,-32761,2357,-1675,7,0,0
678,961,-32759,1931,31098,6,0,0
637,-31773,-32757,1867,31104,-32768,0,0
838,809,12,2129,-1751,-32768,0,0
1109,-31927,-32759,1908,30686,10,0,0
1144,917,-32740,1718,-1736,-32757,0,0
900,895,-32747,-30635,-1674,6,0,0
634,975,7,-30860,-1669,-32767,0,0
556,-31820,-32765,-30681,31090,-32766,0,0
644,888,-32765,-30551,-1675,5,0,0
894,-31928,-32765,-31159,31020,12,0,0
1157,-31945,11,2032,-2069,-32765,0,0
1296,816,-32758,-31038,-1799,-32766,0,0
1208,765,24,-30434,30689,2,0,0
898,848,-32743,2482,-1730,2,0,0
617,921,14,2116,31099,6,0,0
665,-31857,20,-30540,31110,-32761,0,0
1040,910,-32750,1973,-1660,-32734,0,0
1242,-31833,-32755,-30782,-1656,-32748,0,0
912,-31920,-32747,1917,31024,-32765,0,0
679,880,14,2116,30693,-1,0,0
737,849,-32751,-30853,31037,-1,0,0
973,935,-32753,1861,-1671,-32760,0,0
1235,-31849,5,-31012,-1669,16,0,0
1252,952,5,1843,31092,-32751,0,0
878,955,1,-30845,31088,16,0,0
669,934,10,-30962,31096,13,0,0
698,873,-32754,-30709,31095,5,0,0
973,876,26,-30726,-1677,12,0,0
1304,887,23,1887,31091,7,0,0
1192,-31925,12,1967,31093,15,0,0
777,824,-32752,-30612,-1669,9,0,0
588,864,-32756,1780,-1665,-32762,0,0
853,919,29,-30403,-1675,-32764,0,0
1124,-31814,-32727,2149,31023,20,0,0
1172,985,-32747,-30938,-2145,-32757,0,0
873,900,4,1638,-2205,-32760,0,0
723,-31830,-32762,1845,-2130,1,0,0
1060,919,-32757,-30621,31041,2,0,0
1285,842,12,-30616,-1668,3,0,0
1296,-31867,-32762,1862,-1667,4,0,0
895,870,4,1719,31105,3,0,0
682,842,-32760,-31080,31097,-32756,0,0
841,865,-32747,-30968,-1666,1,0,0
1208,-31877,-32752,2643,31098,-32766,0,0
1185,947,9,2580,31017,-32765,0,0
815,-31838,10,-30350,30687,-32762,0,0
699,-31857,-32757,-30297,30959,4,0,0
890,-31838,14,-30380,30696,-32759,0,0
1212,-31790,18,2166,-2078,7,0,0
1183,-31769,-32751,2102,-1732,-32762,0,0
936,920,-32754,2074,31104,5,0,0
652,-31892,14,-30631,-1664,-32762,0,0
895,935,19,-30888,-1657,-1,0,0
1158,936,-32756,2316,31118,-32758,0,0
1270,-31903,18,2157,-1665,12,0,0
1206,813,13,2025,-1675,8,0,0
1170,817,7,2618,31094,-32762,0,0
944,-31943,-32761,-30648,31116,-32763,0,0
650,-31933,12,-31123,-1659,13,0,0
689,856,-32761,1940,-1667,-32751,0,0
1103,894,-32760,-30660,31016,12,0,0
1264,884,17,-31034,30699,4,0,0
1003,918,-32745,2038,31049,7,0,0
741,879,-32735,-30529,-1676,-32753,0,0
836,-31935,-32746,1932,-1678,10,0,0
1061,788,-32748,-31142,31104,5,0,0
1245,809,-32741,-30751,-1665,5,0,0
1223,-31975,16,2090,31098,18,0,0
834,863,15,-30752,31101,15,0,0
681,913,11,2174,-1671,-32759,0,0
972,958,-32749,2268,-1672,10,0,0
1280,948,-32751,2371,31095,10,0,0
1212,959,-32757,2358,31095,-32761,0,0
794,916,9,2163,31097,4,0,0
639,782,-32760,1834,31100,11,0,0
978,817,-32756,2138,-1758,-32741,0,0
1228,843,-32737,-30702,-2083,9,0,0
1078,-31893,21,2300,-1727,8,0,0
737,905,25,2184,-1663,-32765,0,0
628,-31823,-32746,-30885,-1743,4,0,0
873,-31836,-32751,1999,30699,-32765,0,0
1131,-31919,10,1833,31035,-32759,0,0
1206,-31970,8,1885,-1678,-32761,0,0
1064,-32006,12,-30886,-1751,-32749,0,0
753,833,23,-30680,-2161,-32758,0,0
660,-31848,15,-30718,30550,6,0,0
823,-31771,16,-30605,-2135,5,0,0
1093,-31814,-32754,2133,31038,3,0,0
1151,-31961,18,-30738,-1662,18,0,0
1003,751,-32745,-30815,31021,-32759,0,0
